date,sales,promo,holiday,temperature
2024-10-27,484,1,0,29.424949460565877
2024-10-28,220,0,1,21.488156219853344
2024-10-29,303,1,1,20.916757438185506
2024-10-30,184,0,1,21.45322883993939
2024-10-31,226,1,1,26.91817080107976
2024-11-01,106,1,1,16.509575246668874
2024-11-02,440,1,0,20.04279207956432
2024-11-03,217,0,0,16.064666467033504
2024-11-04,206,0,1,22.21573808929061
2024-11-05,440,1,0,24.567818417539964
2024-11-06,339,1,1,18.55787440437964
2024-11-07,129,1,0,17.29448292626812
2024-11-08,180,1,1,19.299135811866012
2024-11-09,352,0,1,25.804889633558915
2024-11-10,413,0,0,17.137954293855078
2024-11-11,312,1,1,22.548589259964018
2024-11-12,94,1,1,16.018055862247724
2024-11-13,475,1,1,20.21415559064232
2024-11-14,413,0,0,15.941412132094936
2024-11-15,190,0,0,19.32565902541854
2024-11-16,77,0,0,18.10128123985776
2024-11-17,106,1,1,29.132399469693546
2024-11-18,357,1,0,25.343837662221468
2024-11-19,233,1,0,15.910863608130986
2024-11-20,344,0,0,21.543071237775816
2024-11-21,187,0,1,22.38970477708933
2024-11-22,319,1,0,25.504829153352876
2024-11-23,167,1,1,21.65793453490712
2024-11-24,55,1,1,29.000076580997266
2024-11-25,242,1,1,29.590799135074253
2024-11-26,349,0,1,17.48079771202152
2024-11-27,421,0,1,18.07755916564608
2024-11-28,475,1,0,22.689716367262314
2024-11-29,176,1,1,18.17952029948929
2024-11-30,333,0,0,27.973105463793793
2024-12-01,184,1,1,15.347233568081341
2024-12-02,60,1,1,29.086960257204172
2024-12-03,127,0,0,18.139403959331357
2024-12-04,211,0,0,25.901836900350823
2024-12-05,351,1,1,15.961134633327585
2024-12-06,418,1,0,17.83908773456639
2024-12-07,337,0,1,21.92132728819917
2024-12-08,200,1,0,19.887631432961967
2024-12-09,343,0,0,24.41280414217248
2024-12-10,169,0,0,25.808180078818452
2024-12-11,74,0,1,16.209014114758247
2024-12-12,148,0,1,18.191750673264355
2024-12-13,182,0,1,20.268227158854277
2024-12-14,370,0,0,21.42981535612508
2024-12-15,493,0,1,17.816908401719516
2024-12-16,249,0,0,24.335358256662925
2024-12-17,111,0,1,26.384302899985407
2024-12-18,383,1,0,15.491011602923912
2024-12-19,132,0,0,19.999592606355915
2024-12-20,101,1,0,24.933517201907186
2024-12-21,151,0,0,28.26915037419431
2024-12-22,334,0,1,27.720803602754398
2024-12-23,146,1,1,18.44928184522314
2024-12-24,90,0,1,28.464722913152336
2024-12-25,189,1,0,21.044143210314196
2024-12-26,271,1,1,17.020929576578318
2024-12-27,82,0,1,23.74539899699897
2024-12-28,444,0,0,29.492338644086914
2024-12-29,266,0,0,23.788828027467222
2024-12-30,186,1,1,19.517310565790684
2024-12-31,387,0,1,17.95368558736213
